result_dir,task_id,condition,group,run_number,acs,fctc,total_tool_calls,mcp_calls,internal_search_calls,required_files_total,required_files_hit
task_01_A_run1_20260215_213854,g1_task_01,A,g1,1,1.0,2,4,0,1,1,1
task_01_A_run2_20260215_213913,g1_task_01,A,g1,2,1.0,2,4,0,1,1,1
task_01_A_run3_20260215_213932,g1_task_01,A,g1,3,1.0,2,4,0,1,1,1
task_01_B_run1_20260218_111657,g1_task_01,B,g1,1,1.0,2,4,0,1,1,1
task_01_B_run2_20260218_111926,g1_task_01,B,g1,2,1.0,2,4,0,1,1,1
task_01_B_run3_20260218_112145,g1_task_01,B,g1,3,1.0,2,4,0,1,1,1
task_01_C_run1_20260218_111206,g1_task_01,C,g1,1,1.0,3,6,1,2,1,1
task_01_C_run2_20260218_111233,g1_task_01,C,g1,2,1.0,2,7,1,2,1,1
task_01_C_run3_20260218_111302,g1_task_01,C,g1,3,1.0,3,7,1,2,1,1
task_02_A_run1_20260215_213950,g1_task_02,A,g1,1,1.0,2,7,0,1,1,1
task_02_A_run2_20260215_214015,g1_task_02,A,g1,2,1.0,2,4,0,1,1,1
task_02_A_run3_20260215_214034,g1_task_02,A,g1,3,1.0,2,3,0,1,1,1
task_02_B_run1_20260218_112239,g1_task_02,B,g1,1,1.0,2,4,0,0,1,1
task_02_B_run2_20260218_134347,g1_task_02,B,g1,2,1.0,3,5,0,0,1,1
task_02_B_run3_20260218_134433,g1_task_02,B,g1,3,1.0,3,5,0,0,1,1
task_02_C_run1_20260218_111331,g1_task_02,C,g1,1,1.0,3,14,1,2,1,1
task_02_C_run2_20260218_111418,g1_task_02,C,g1,2,1.0,2,6,1,0,1,1
task_02_C_run3_20260218_103248,g1_task_02,C,g1,3,1.0,2,4,0,1,1,1
task_03_A_run1_20260215_214051,g1_task_03,A,g1,1,0.5,4,11,0,3,2,1
task_03_A_run2_20260215_214132,g1_task_03,A,g1,2,0.5,3,6,0,2,2,1
task_03_A_run3_20260215_214202,g1_task_03,A,g1,3,0.5,3,6,0,2,2,1
task_03_B_run1_20260216_104530,g1_task_03,B,g1,1,1.0,1,11,0,2,2,2
task_03_B_run2_20260216_104620,g1_task_03,B,g1,2,1.0,2,10,0,3,2,2
task_03_B_run3_20260216_104706,g1_task_03,B,g1,3,1.0,2,7,0,2,2,2
task_03_C_run1_20260218_103312,g1_task_03,C,g1,1,0.5,4,7,0,2,2,1
task_03_C_run3_20260218_103406,g1_task_03,C,g1,3,0.5,3,6,0,2,2,1
task_04_A_run1_20260215_214229,g1_task_04,A,g1,1,1.0,1,4,0,1,1,1
